hs코드,품목명,기업명,종목코드,연월,수출금액_usd
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-06,165413314
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-07,180370071
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-08,133643262
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-09,133125673
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-10,123014212
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-11,134503465
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2021-12,124809229
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-01,198069656
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-02,190213444
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-03,214876507
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-04,203753410
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-05,274767629
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-06,228077516
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-07,274280908
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-08,334902644
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-09,321911331
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-10,248979838
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-11,188602579
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2022-12,292427977
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-01,257239641
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-02,257842852
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-03,224269884
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-04,174723886
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-05,207587191
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-06,228295251
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-07,153377152
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-08,130625761
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-09,106964927
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-10,161666164
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-11,356588057
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2023-12,269647181
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-01,118029989
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-02,125911746
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-03,109344806
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-04,119527600
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-05,120139072
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-06,202961031
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-07,204741735
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-08,229062672
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-09,191155886
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-10,106382629
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-11,194223596
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2024-12,188627022
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-01,113059546
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-02,112748997
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-03,99612909
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-04,74728500
8507603000,2차전지·배터리소재_셀 모듈 팩,LG에너지솔루션,373220,2025-05,51283420
